142,BOS 2019 1st,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Guerschon Yabusele,400,BOS,Rights held: Shanghai Sharks,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Kelly Olynyk,400,BOS,1 yr/$3.1M  $4.3M QO 2017,3094013,3094013,4279020,,,,,,,,,,,2,TRUE,,,TRUE,,,,,Greg Lawrence,Wasserman Media Group,,$78.1M
145,Terry Rozier,400,BOS,Rookie contract  $4.3M QO 2019,1906440,1906440,1988520,1988520,3050390,,4285798,,,,,7,,4,TRUE,,,TRUE,,,,,,,,$2.1M
146,LAC 2019 1st (15-30 through 2020  else 2022 LAC 2nd) [Only if 2 yrs after LAC 1st sent to TOR]),400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Amir Johnson,400,BOS,1 yr/$12M,12000000,12000000,,,,,,,,,,,,,,TRUE,,TRUE,,,,,Bill Duffy,BDA Sports Management,,$61.8M
148,Jonas Jerebko,400,BOS,1 yr/$5M,5000000,5000000,,,,,,,,,,,,,,TRUE,,,TRUE,,,,Bill Duffy,BDA Sports Management,,$4.1M
149,James Young,400,BOS,Rookie contract  $4M QO 2018,1825200,1825200,2803507,,3958552,,,,,,,2,,3,TRUE,,,TRUE,,,,,,,,$17.9M
150,Jordan Mickey,400,BOS,Rookie contract  $1.3M QO 2018,1223653,1223653,1276346,,1329039,,,,,,,3,,,TRUE,,,TRUE,,,,,,,,
151,Demetrius Jackson,400,BOS,Rookie contract  $1.3M QO 2019,1450000,1450000,1384750,,1319500,,1319500,,,,,4,,,TRUE,,,TRUE,,,,,Mark Bartelstein,Priority Sports & Entertainment,,$6.8M
152,Abdel Nader,400,BOS,Rights held: Maine Red Claws,,,,,,,,,,,,,,,,,,,,,,,,,,
153,MIN 2017 2nd,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Marcus Thornton,400,BOS,Rights held: Sydney Kings,,,,,,,,,,,,,,,,,,,,,,,,,,-$2M
155,LAC 2017 2nd,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,BOS 2017 2nd (31-45  46-60 to BRK if 2017 1sts swap),400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,CLE 2017 2nd,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,BOS 2018 2nd (31-55  56-60 to OKC),400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,DET 2019 2nd (31-55),400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,BOS 2019 2nd (31-55  56-60 to MEM),400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,MIA 2020 2nd,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
